?,L2,L,U2,U,I2,I,R,Word,UKPhonetics,USPhonetics,Paraphrase,
0,01,00,01,0,01,0,0.396640946,abandon,[əˈbænd(ə)n],[əˈbændən],放纵；放弃,
0,01,00,01,0,02,1,0.252169635,abase,[əˈbeɪs],[əˈbes],降低(地位、职位、威望或尊严),
0,01,00,01,0,03,2,0.603954712,abash,[əˈbæʃ],[əˈbæʃ],使尴尬，使羞愧,
0,01,00,01,0,04,3,0.1290306,abate,[əˈbeɪt],[əˈbet],减轻(程度或者强度)；减少(数量)，降低(价值),
0,01,00,01,0,05,4,0.298130276,abbreviate,[əˈbriːvɪeɪt],[əˈbrivɪˈet],缩写，缩短,
0,01,00,01,0,06,5,0.272286565,abdicate,[ˈæbdɪkeɪt],[ˈæbdɪket],正式放弃(权力、责任)，不干了,
0,01,00,01,0,07,6,0.443787562,aberrant,[əˈber(ə)nt],[æˈbɛrənt],异常的，非常规的,
0,01,00,01,0,08,7,0.241973654,abet,[əˈbet],[əˈbɛt],鼓励,
0,01,00,01,0,09,8,0.249579147,abeyance,[əˈbeɪəns],[əˈbeəns],中止，搁置,
0,01,00,01,0,10,9,0.014813225,abhor,[əbˈhɔː],[əbˈhɔr],深恶痛绝，极度厌恶,
0,01,00,02,1,01,0,0.371569138,abiding,[əˈbaɪdɪŋ],[əˈbaɪdɪŋ],持久的,
0,01,00,02,1,02,1,0.257178559,abject,[ˈæbdʒekt],[ˈæbdʒɛkt],(地位、身份)悲惨、凄凉的；卑微的，讨好的,
0,01,00,02,1,03,2,0.811447514,abjure,[əbˈdʒʊə],[əbˈdʒʊr],发誓放弃；抵制，避免,
0,01,00,02,1,04,3,0.080643232,abnegate,[ˈæbnɪɡeɪt],[ˈæbnɪɡeɪt],否认,
0,01,00,02,1,05,4,0.185295428,abominate,[əˈbɒmɪneɪt],[əˈbɑːmɪneɪt],痛恨，厌恶,
0,01,00,02,1,06,5,0.977487421,aboveboard,[əˈbʌvˈbɔːd],[əˈbʌvˈboʊrd],无欺诈的，光明正大的,
0,01,00,02,1,07,6,0.102544866,abrade,[əˈbreɪd],[əˈbred],磨损，精神上的折磨,
0,01,00,02,1,08,7,0.450870189,abridge,[əˈbrɪdʒ],[əˈbrɪdʒ],缩短，缩小,
0,01,00,02,1,09,8,0.068255716,abrogate,[ˈæbrəgeɪt],[ˈæbrəɡet],官方的正式废除；无视(某事的)存在,
0,01,00,02,1,10,9,0.147494663,abscond,[əbˈskɒnd],[əbˈskɑnd],偷偷离开,
0,01,00,03,2,01,0,0.410040411,absolute,[ˈæbsəluːt],[ˈæbsəlut],专制的；无限的；完美的，纯净不惨杂的；不容置疑的，确凿的,
0,01,00,03,2,02,1,0.858556578,absolve,[əbˈzɒlv],[əbˈzɑlv],使无罪，解除责任,
0,01,00,03,2,03,2,0.574430094,abstain,[əbˈsteɪn],[əbˈsten],自我克制，主动戒绝,
0,01,00,03,2,04,3,0.366484165,abstemious,[əbˈstiːmɪəs],[əbˈstimɪəs],(吃喝等)有节制的，节俭的,
0,01,00,03,2,05,4,0.094063172,abstract,[ˈæbstrækt],[ˈæbstrækt],做总结，概括；使分心,
0,01,00,03,2,06,5,0.157722754,abstruse,[əbˈstruːs],[əbˈstrus],难以理解的,
0,01,00,03,2,07,6,0.566627859,absurd,[əbˈsɜːd],[əbˈzɚd],不合理的,
0,01,00,03,2,08,7,0.44931873,abundant,[əˈbʌnd(ə)nt],[əˈbʌndənt],大量的,
0,01,00,03,2,09,8,0.796844232,abuse,[əˈbjuːz],[əˈbjus],辱骂，抨击；不正当的或不合理使用的,
0,01,00,03,2,10,9,0.453012177,acquainted,[əˈkweɪntɪd],[əˈkwentɪd],熟悉的,
0,01,00,04,3,01,0,0.505654961,abysmal,[əˈbɪzm(ə)l],[əˈbɪzməl],(程度)很深的；极端的,
